item,canonical_model,subjective_rank,subjective_worth,benchmark_category,dataset,score_mean,objective_rank,subjective_label,objective_source
f5.tts,f5-tts,5,0.181825571787109,INTELLIGIBILITY,f5-tts/v1/eng,83.17315971065281,7.0,sim,aggregated_results_sap__libritts.csv
maskgct,maskgct,6,0.140665032548458,INTELLIGIBILITY,maskgct/default/eng,82.24682627111966,10.0,sim,aggregated_results_sap__libritts.csv
recording,recording,7,0.0,INTELLIGIBILITY,recording/default/eng,81.22907681818037,11.0,sim,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,8,-0.419851736565557,INTELLIGIBILITY,vibevoice/default/eng,83.47773515294851,5.0,sim,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,9,-0.576927185670687,INTELLIGIBILITY,voicecraft/giga830m_tts_enhanced/eng,80.94044773421061,12.0,sim,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,10,-0.644218378544644,INTELLIGIBILITY,gpt-sovits/v4/eng,83.6319813672238,3.0,sim,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,11,-0.754505234743026,INTELLIGIBILITY,hierspeech/v1.1/eng,83.18838386650992,6.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,12,-0.787962267314379,INTELLIGIBILITY,styletts2/default/eng,82.44527866704203,9.0,sim,aggregated_results_sap__libritts.csv
tortoise,tortoise,13,-0.827690328166699,INTELLIGIBILITY,tortoise/default/eng,80.26841062535726,15.0,sim,aggregated_results_sap__libritts.csv
vevo,vevo,14,-0.944343404792295,INTELLIGIBILITY,vevo/vevo1.5/eng,80.58918533845517,14.0,sim,aggregated_results_sap__libritts.csv
metavoice,metavoice,15,-1.17557209871395,INTELLIGIBILITY,metavoice/default/eng,69.92840973482733,18.0,sim,aggregated_results_sap__libritts.csv
xtts,xtts,16,-1.28878163920876,INTELLIGIBILITY,xtts/v2/eng,83.58644853116391,4.0,sim,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,17,-1.35491983218282,INTELLIGIBILITY,whisperspeech/small/eng,75.63231167828874,17.0,sim,aggregated_results_sap__libritts.csv
openvoice,openvoice,18,-1.53361547255085,INTELLIGIBILITY,openvoice/default/eng,76.02959590162922,16.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,1,2.44697819734404,INTELLIGIBILITY,styletts2/default/eng,82.44527866704203,9.0,intel,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,2,2.33973696175463,INTELLIGIBILITY,fish-speech/s1-mini/eng,80.59965274225895,13.0,intel,aggregated_results_sap__libritts.csv
openvoice,openvoice,3,2.23589580650502,INTELLIGIBILITY,openvoice/default/eng,76.02959590162922,16.0,intel,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,4,2.20698429417246,INTELLIGIBILITY,qwen3-tts/1.7b-base/eng,84.72418973939341,1.0,intel,aggregated_results_sap__libritts.csv
tortoise,tortoise,5,1.93963770677368,INTELLIGIBILITY,tortoise/default/eng,80.26841062535726,15.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,6,1.9212030193773,INTELLIGIBILITY,indextts/default/eng,83.88676180976238,2.0,intel,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,7,1.46426118294162,INTELLIGIBILITY,f5-tts/v1/eng,83.17315971065281,7.0,intel,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,8,1.20841567669501,INTELLIGIBILITY,whisperspeech/small/eng,75.63231167828874,17.0,intel,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,9,0.92878102689503,INTELLIGIBILITY,vibevoice/default/eng,83.47773515294851,5.0,intel,aggregated_results_sap__libritts.csv
xtts,xtts,10,0.48960136589781,INTELLIGIBILITY,xtts/v2/eng,83.58644853116391,4.0,intel,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,11,0.198223341447589,INTELLIGIBILITY,e2-tts/default/eng,82.95230691259285,8.0,intel,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,12,0.0818880149053242,INTELLIGIBILITY,hierspeech/v1.1/eng,83.18838386650992,6.0,intel,aggregated_results_sap__libritts.csv
vevo,vevo,13,0.029618680831655,INTELLIGIBILITY,vevo/vevo1.5/eng,80.58918533845517,14.0,intel,aggregated_results_sap__libritts.csv
recording,recording,14,0.0,INTELLIGIBILITY,recording/default/eng,81.22907681818037,11.0,intel,aggregated_results_sap__libritts.csv
maskgct,maskgct,15,-0.0537024851800524,INTELLIGIBILITY,maskgct/default/eng,82.24682627111966,10.0,intel,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,16,-0.0710059488697125,INTELLIGIBILITY,gpt-sovits/v4/eng,83.6319813672238,3.0,intel,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,17,-0.653807459549089,INTELLIGIBILITY,voicecraft/giga830m_tts_enhanced/eng,80.94044773421061,12.0,intel,aggregated_results_sap__libritts.csv
metavoice,metavoice,18,-1.07553475807921,INTELLIGIBILITY,metavoice/default/eng,69.92840973482733,18.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,1,0.962534929784353,OVERALL,indextts/default/eng,85.28423658235796,4.0,sim,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,2,0.791079988365953,OVERALL,qwen3-tts/1.7b-base/eng,86.46925178283132,2.0,sim,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,3,0.67182568139416,OVERALL,e2-tts/default/eng,81.91669589153261,11.0,sim,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,4,0.355839445079671,OVERALL,fish-speech/s1-mini/eng,86.80379260129486,1.0,sim,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,5,0.181825571787109,OVERALL,f5-tts/v1/eng,85.24930064565193,5.0,sim,aggregated_results_sap__libritts.csv
maskgct,maskgct,6,0.140665032548458,OVERALL,maskgct/default/eng,79.30559806845729,14.0,sim,aggregated_results_sap__libritts.csv
recording,recording,7,0.0,OVERALL,recording/default/eng,77.38635162002237,18.0,sim,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,8,-0.419851736565557,OVERALL,vibevoice/default/eng,82.9566910593863,9.0,sim,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,9,-0.576927185670687,OVERALL,voicecraft/giga830m_tts_enhanced/eng,78.57005415856194,16.0,sim,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,10,-0.644218378544644,OVERALL,gpt-sovits/v4/eng,82.7244769309414,10.0,sim,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,11,-0.754505234743026,OVERALL,hierspeech/v1.1/eng,78.64311702050796,15.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,12,-0.787962267314379,OVERALL,styletts2/default/eng,85.01730440995561,6.0,sim,aggregated_results_sap__libritts.csv
tortoise,tortoise,13,-0.827690328166699,OVERALL,tortoise/default/eng,85.65150391653931,3.0,sim,aggregated_results_sap__libritts.csv
vevo,vevo,14,-0.944343404792295,OVERALL,vevo/vevo1.5/eng,81.22605845545485,12.0,sim,aggregated_results_sap__libritts.csv
metavoice,metavoice,15,-1.17557209871395,OVERALL,metavoice/default/eng,77.56147477933837,17.0,sim,aggregated_results_sap__libritts.csv
xtts,xtts,16,-1.28878163920876,OVERALL,xtts/v2/eng,80.919930381139,13.0,sim,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,17,-1.35491983218282,OVERALL,whisperspeech/small/eng,84.70836037311615,7.0,sim,aggregated_results_sap__libritts.csv
openvoice,openvoice,18,-1.53361547255085,OVERALL,openvoice/default/eng,84.06737801994583,8.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,1,2.44697819734404,OVERALL,styletts2/default/eng,85.01730440995561,6.0,intel,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,2,2.33973696175463,OVERALL,fish-speech/s1-mini/eng,86.80379260129486,1.0,intel,aggregated_results_sap__libritts.csv
openvoice,openvoice,3,2.23589580650502,OVERALL,openvoice/default/eng,84.06737801994583,8.0,intel,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,4,2.20698429417246,OVERALL,qwen3-tts/1.7b-base/eng,86.46925178283132,2.0,intel,aggregated_results_sap__libritts.csv
tortoise,tortoise,5,1.93963770677368,OVERALL,tortoise/default/eng,85.65150391653931,3.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,6,1.9212030193773,OVERALL,indextts/default/eng,85.28423658235796,4.0,intel,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,7,1.46426118294162,OVERALL,f5-tts/v1/eng,85.24930064565193,5.0,intel,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,8,1.20841567669501,OVERALL,whisperspeech/small/eng,84.70836037311615,7.0,intel,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,9,0.92878102689503,OVERALL,vibevoice/default/eng,82.9566910593863,9.0,intel,aggregated_results_sap__libritts.csv
xtts,xtts,10,0.48960136589781,OVERALL,xtts/v2/eng,80.919930381139,13.0,intel,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,11,0.198223341447589,OVERALL,e2-tts/default/eng,81.91669589153261,11.0,intel,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,12,0.0818880149053242,OVERALL,hierspeech/v1.1/eng,78.64311702050796,15.0,intel,aggregated_results_sap__libritts.csv
vevo,vevo,13,0.029618680831655,OVERALL,vevo/vevo1.5/eng,81.22605845545485,12.0,intel,aggregated_results_sap__libritts.csv
recording,recording,14,0.0,OVERALL,recording/default/eng,77.38635162002237,18.0,intel,aggregated_results_sap__libritts.csv
maskgct,maskgct,15,-0.0537024851800524,OVERALL,maskgct/default/eng,79.30559806845729,14.0,intel,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,16,-0.0710059488697125,OVERALL,gpt-sovits/v4/eng,82.7244769309414,10.0,intel,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,17,-0.653807459549089,OVERALL,voicecraft/giga830m_tts_enhanced/eng,78.57005415856194,16.0,intel,aggregated_results_sap__libritts.csv
metavoice,metavoice,18,-1.07553475807921,OVERALL,metavoice/default/eng,77.56147477933837,17.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,1,0.962534929784353,PROSODY,indextts/default/eng,85.20212904217975,5.0,sim,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,2,0.791079988365953,PROSODY,qwen3-tts/1.7b-base/eng,83.84821458023163,7.0,sim,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,3,0.67182568139416,PROSODY,e2-tts/default/eng,77.64096045815124,14.0,sim,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,4,0.355839445079671,PROSODY,fish-speech/s1-mini/eng,90.347006773247,1.0,sim,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,5,0.181825571787109,PROSODY,f5-tts/v1/eng,83.8059176563438,8.0,sim,aggregated_results_sap__libritts.csv
maskgct,maskgct,6,0.140665032548458,PROSODY,maskgct/default/eng,76.14336577873432,16.0,sim,aggregated_results_sap__libritts.csv
recording,recording,7,0.0,PROSODY,recording/default/eng,70.61764638521451,18.0,sim,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,8,-0.419851736565557,PROSODY,vibevoice/default/eng,80.11668670350302,10.0,sim,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,9,-0.576927185670687,PROSODY,voicecraft/giga830m_tts_enhanced/eng,76.52668630075704,15.0,sim,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,10,-0.644218378544644,PROSODY,gpt-sovits/v4/eng,79.35747267576438,11.0,sim,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,11,-0.754505234743026,PROSODY,hierspeech/v1.1/eng,72.23932439603591,17.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,12,-0.787962267314379,PROSODY,styletts2/default/eng,83.11684982305414,9.0,sim,aggregated_results_sap__libritts.csv
tortoise,tortoise,13,-0.827690328166699,PROSODY,tortoise/default/eng,86.59913746701959,3.0,sim,aggregated_results_sap__libritts.csv
vevo,vevo,14,-0.944343404792295,PROSODY,vevo/vevo1.5/eng,78.96137708724115,12.0,sim,aggregated_results_sap__libritts.csv
metavoice,metavoice,15,-1.17557209871395,PROSODY,metavoice/default/eng,84.45478513003765,6.0,sim,aggregated_results_sap__libritts.csv
xtts,xtts,16,-1.28878163920876,PROSODY,xtts/v2/eng,78.43820917450579,13.0,sim,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,17,-1.35491983218282,PROSODY,whisperspeech/small/eng,89.88204500103326,2.0,sim,aggregated_results_sap__libritts.csv
openvoice,openvoice,18,-1.53361547255085,PROSODY,openvoice/default/eng,86.51801358445185,4.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,1,2.44697819734404,PROSODY,styletts2/default/eng,83.11684982305414,9.0,intel,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,2,2.33973696175463,PROSODY,fish-speech/s1-mini/eng,90.347006773247,1.0,intel,aggregated_results_sap__libritts.csv
openvoice,openvoice,3,2.23589580650502,PROSODY,openvoice/default/eng,86.51801358445185,4.0,intel,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,4,2.20698429417246,PROSODY,qwen3-tts/1.7b-base/eng,83.84821458023163,7.0,intel,aggregated_results_sap__libritts.csv
tortoise,tortoise,5,1.93963770677368,PROSODY,tortoise/default/eng,86.59913746701959,3.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,6,1.9212030193773,PROSODY,indextts/default/eng,85.20212904217975,5.0,intel,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,7,1.46426118294162,PROSODY,f5-tts/v1/eng,83.8059176563438,8.0,intel,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,8,1.20841567669501,PROSODY,whisperspeech/small/eng,89.88204500103326,2.0,intel,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,9,0.92878102689503,PROSODY,vibevoice/default/eng,80.11668670350302,10.0,intel,aggregated_results_sap__libritts.csv
xtts,xtts,10,0.48960136589781,PROSODY,xtts/v2/eng,78.43820917450579,13.0,intel,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,11,0.198223341447589,PROSODY,e2-tts/default/eng,77.64096045815124,14.0,intel,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,12,0.0818880149053242,PROSODY,hierspeech/v1.1/eng,72.23932439603591,17.0,intel,aggregated_results_sap__libritts.csv
vevo,vevo,13,0.029618680831655,PROSODY,vevo/vevo1.5/eng,78.96137708724115,12.0,intel,aggregated_results_sap__libritts.csv
recording,recording,14,0.0,PROSODY,recording/default/eng,70.61764638521451,18.0,intel,aggregated_results_sap__libritts.csv
maskgct,maskgct,15,-0.0537024851800524,PROSODY,maskgct/default/eng,76.14336577873432,16.0,intel,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,16,-0.0710059488697125,PROSODY,gpt-sovits/v4/eng,79.35747267576438,11.0,intel,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,17,-0.653807459549089,PROSODY,voicecraft/giga830m_tts_enhanced/eng,76.52668630075704,15.0,intel,aggregated_results_sap__libritts.csv
metavoice,metavoice,18,-1.07553475807921,PROSODY,metavoice/default/eng,84.45478513003765,6.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,1,0.962534929784353,SPEAKER,indextts/default/eng,79.49805245141316,7.0,sim,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,2,0.791079988365953,SPEAKER,qwen3-tts/1.7b-base/eng,83.3133574783252,1.0,sim,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,3,0.67182568139416,SPEAKER,e2-tts/default/eng,77.81933392744057,9.0,sim,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,4,0.355839445079671,SPEAKER,fish-speech/s1-mini/eng,81.44016996840284,4.0,sim,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,5,0.181825571787109,SPEAKER,f5-tts/v1/eng,81.81611458062159,3.0,sim,aggregated_results_sap__libritts.csv
maskgct,maskgct,6,0.140665032548458,SPEAKER,maskgct/default/eng,71.60158692683498,16.0,sim,aggregated_results_sap__libritts.csv
recording,recording,7,0.0,SPEAKER,recording/default/eng,73.0568793381221,14.0,sim,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,8,-0.419851736565557,SPEAKER,vibevoice/default/eng,77.15120492963365,10.0,sim,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,9,-0.576927185670687,SPEAKER,voicecraft/giga830m_tts_enhanced/eng,69.62385760694028,17.0,sim,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,10,-0.644218378544644,SPEAKER,gpt-sovits/v4/eng,76.33029532176262,12.0,sim,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,11,-0.754505234743026,SPEAKER,hierspeech/v1.1/eng,73.49052624103314,13.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,12,-0.787962267314379,SPEAKER,styletts2/default/eng,80.64025992337585,6.0,sim,aggregated_results_sap__libritts.csv
tortoise,tortoise,13,-0.827690328166699,SPEAKER,tortoise/default/eng,81.91515388610424,2.0,sim,aggregated_results_sap__libritts.csv
vevo,vevo,14,-0.944343404792295,SPEAKER,vevo/vevo1.5/eng,76.9406662838124,11.0,sim,aggregated_results_sap__libritts.csv
metavoice,metavoice,15,-1.17557209871395,SPEAKER,metavoice/default/eng,67.96958637314152,18.0,sim,aggregated_results_sap__libritts.csv
xtts,xtts,16,-1.28878163920876,SPEAKER,xtts/v2/eng,72.5264592219759,15.0,sim,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,17,-1.35491983218282,SPEAKER,whisperspeech/small/eng,78.78367232910287,8.0,sim,aggregated_results_sap__libritts.csv
openvoice,openvoice,18,-1.53361547255085,SPEAKER,openvoice/default/eng,80.74492540813259,5.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,1,2.44697819734404,SPEAKER,styletts2/default/eng,80.64025992337585,6.0,intel,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,2,2.33973696175463,SPEAKER,fish-speech/s1-mini/eng,81.44016996840284,4.0,intel,aggregated_results_sap__libritts.csv
openvoice,openvoice,3,2.23589580650502,SPEAKER,openvoice/default/eng,80.74492540813259,5.0,intel,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,4,2.20698429417246,SPEAKER,qwen3-tts/1.7b-base/eng,83.3133574783252,1.0,intel,aggregated_results_sap__libritts.csv
tortoise,tortoise,5,1.93963770677368,SPEAKER,tortoise/default/eng,81.91515388610424,2.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,6,1.9212030193773,SPEAKER,indextts/default/eng,79.49805245141316,7.0,intel,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,7,1.46426118294162,SPEAKER,f5-tts/v1/eng,81.81611458062159,3.0,intel,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,8,1.20841567669501,SPEAKER,whisperspeech/small/eng,78.78367232910287,8.0,intel,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,9,0.92878102689503,SPEAKER,vibevoice/default/eng,77.15120492963365,10.0,intel,aggregated_results_sap__libritts.csv
xtts,xtts,10,0.48960136589781,SPEAKER,xtts/v2/eng,72.5264592219759,15.0,intel,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,11,0.198223341447589,SPEAKER,e2-tts/default/eng,77.81933392744057,9.0,intel,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,12,0.0818880149053242,SPEAKER,hierspeech/v1.1/eng,73.49052624103314,13.0,intel,aggregated_results_sap__libritts.csv
vevo,vevo,13,0.029618680831655,SPEAKER,vevo/vevo1.5/eng,76.9406662838124,11.0,intel,aggregated_results_sap__libritts.csv
recording,recording,14,0.0,SPEAKER,recording/default/eng,73.0568793381221,14.0,intel,aggregated_results_sap__libritts.csv
maskgct,maskgct,15,-0.0537024851800524,SPEAKER,maskgct/default/eng,71.60158692683498,16.0,intel,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,16,-0.0710059488697125,SPEAKER,gpt-sovits/v4/eng,76.33029532176262,12.0,intel,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,17,-0.653807459549089,SPEAKER,voicecraft/giga830m_tts_enhanced/eng,69.62385760694028,17.0,intel,aggregated_results_sap__libritts.csv
metavoice,metavoice,18,-1.07553475807921,SPEAKER,metavoice/default/eng,67.96958637314152,18.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,1,0.962534929784353,GENERIC,indextts/default/eng,91.87587858800627,7.0,sim,aggregated_results_sap__sap_readable_01.csv
qwen3.tts,qwen3-tts,2,0.791079988365953,GENERIC,qwen3-tts/1.7b-base/eng,90.97194291450025,11.0,sim,aggregated_results_sap__sap_readable_01.csv
e2.tts,e2-tts,3,0.67182568139416,GENERIC,e2-tts/default/eng,94.74177806476835,4.0,sim,aggregated_results_sap__sap_readable_01.csv
fish.speech,fish-speech,4,0.355839445079671,GENERIC,fish-speech/s1-mini/eng,84.98261091699253,16.0,sim,aggregated_results_sap__sap_readable_01.csv
f5.tts,f5-tts,5,0.181825571787109,GENERIC,f5-tts/v1/eng,89.84769506228069,13.0,sim,aggregated_results_sap__sap_readable_01.csv
maskgct,maskgct,6,0.140665032548458,GENERIC,maskgct/default/eng,96.18970464285375,2.0,sim,aggregated_results_sap__sap_readable_01.csv
recording,recording,7,0.0,GENERIC,recording/default/eng,98.31726432678845,1.0,sim,aggregated_results_sap__sap_readable_01.csv
vibevoice,vibevoice,8,-0.419851736565557,GENERIC,vibevoice/default/eng,94.6116582161063,5.0,sim,aggregated_results_sap__sap_readable_01.csv
voicecraft,voicecraft,9,-0.576927185670687,GENERIC,voicecraft/giga830m_tts_enhanced/eng,95.22617301015612,3.0,sim,aggregated_results_sap__sap_readable_01.csv
gpt.sovits,gpt-sovits,10,-0.644218378544644,GENERIC,gpt-sovits/v4/eng,90.43414562548428,12.0,sim,aggregated_results_sap__sap_readable_01.csv
